  100     C     W
    0    19     1     1
    1    87    96     0
    2    97    67     1
    3    22    90     0
    4    47    13     1
    5    22    74     0
    6    30    22     0
    7     5    86     0
    8    32    23     1
    9    54    63     0
   10    75    89     0
   11    70    25     1
   12     7   100     0
   13    76    76     0
   14    31    23     1
   15    61    56     0
   16    98     5     1
   17    27    47     0
   18    39    45     0
   19    91    39     1
   20    50    47     0
   21    10    11     0
   22    38   100     0
   23    25    27     0
   24    43    60     0
   25    37    76     0
   26    77    75     0
   27    18    37     0
   28    99     1     1
   29     9    81     0
   30    19    51     0
   31    97    30     1
   32    75    40     1
   33    26    48     0
   34    41    68     0
   35    84    31     1
   36    48    13     1
   37    75    81     0
   38    78    67     1
   39    41    12     1
   40    98    10     1
   41    50    57     0
   42    91    24     1
   43     1    42     0
   44    36    72     0
   45    87    22     1
   46    52    75     0
   47    67    71     0
   48    54    37     1
   49     9    85     0
   50    89     4     1
   51    29    94     0
   52    97    26     1
   53    13    26     0
   54     1    21     0
   55    27    37     0
   56    82    12     1
   57    96    59     1
   58     2    92     0
   59    37     9     1
   60    43    40     0
   61    97    43     1
   62    42    79     0
   63     5    22     0
   64    51    61     0
   65     4    47     0
   66   100    61     1
   67    50    37     0
   68    86    54     1
   69    31    72     0
   70    52    36     0
   71    10    59     0
   72    42    90     0
   73    76    41     1
   74    50    11     1
   75     4    88     0
   76     2     6     0
   77    20    55     0
   78    79    23     1
   79    70    23     1
   80    95    67     1
   81    98    29     1
   82    85    87     0
   83    39    90     0
   84    37    70     0
   85    98    23     1
   86    23    73     0
   87    61    56     0
   88    86    77     0
   89    46    81     0
   90    38    89     0
   91    16    33     0
   92     3     9     1
   93     3    87     0
   94    94    86     0
   95    41    66     0
   96    45    56     0
   97    52    84     0
   98    10    62     0
   99    60    23     1
1000
2650
